attributes_id,force_mnax,attack,defence,hp,speed,shoot_range,attack_speed,maintenance_resource,levy_time,collect_speed,arm_load,first_attack,arm_dodge,arm_crit,arm_crit_damege,arm_recover_need,arm_recoer_time,arm_attack_type,arm_def_type,view
6013203,500,11,22,33,0.4,1,1,"{""1101001"":0.015}",0.15,0.9,6,1,0,0,1,"{""1101001"":675,""1101002"":450,""1102003"":282,""1102004"":282}",0.15,1,2,5
6013204,500,15,30,45,0.4,1,1,"{""1101001"":0.02}",0.2,1.08,8,1,0,0,1,"{""1101001"":1013,""1101002"":676,""1102003"":423,""1102004"":423}",0.2,1,2,5
6013205,500,20,42,62,0.4,1,1,"{""1101001"":0.026}",0.25,1.26,9,1,0,0,1,"{""1101001"":1520,""1101002"":1013,""1102003"":634,""1102004"":634}",0.25,1,2,5
6013206,500,28,58,82,0.4,1,1,"{""1101001"":0.035}",0.3,1.44,10,1,0,0,1,"{""1101001"":2279,""1101002"":1520,""1102003"":951,""1102004"":951}",0.3,1,2,5
6013207,500,38,80,110,0.4,1,1,"{""1101001"":0.047}",0.4,1.8,12,1,0,0,1,"{""1101001"":3419,""1101002"":2279,""1102003"":1427,""1102004"":1427}",0.4,1,2,5
6013208,500,52,109,150,0.4,1,1,"{""1101001"":0.065}",0.5,2.07,14,1,0,0,1,"{""1101001"":5128,""1101002"":3419,""1102003"":2140,""1102004"":2140}",0.5,1,2,5
6013209,500,70,153,200,0.4,1,1,"{""1101001"":0.087}",0.6,2.34,16,1,0,0,1,"{""1101001"":7692,""1101002"":5128,""1102003"":3210,""1102004"":3210}",0.6,1,2,5
6013210,500,100,200,270,0.4,1,1,"{""1101001"":0.115}",0.75,2.7,18,1,0,0,1,"{""1101001"":11538,""1101002"":7692,""1102003"":4815,""1102004"":4815}",0.75,1,2,5
6014101,500,13,8,12,1.25,1,1,"{""1101001"":0.006}",0.1,0.48,9,1.2,0,0,1,"{""1101001"":300,""1101002"":300,""1102002"":1}",0.1,1,1,5
6014102,500,18,11,17,1.25,1,1,"{""1101001"":0.008}",0.15,0.54,10,1.2,0,0,1,"{""1101001"":450,""1101002"":450,""1102003"":113,""1102001"":225,""1102004"":113,""1102002"":1}",0.15,1,1,5
6014103,500,26,15,23,1.25,1,1,"{""1101001"":0.01}",0.2,0.6,11,1.2,0,0,1,"{""1101001"":675,""1101002"":675,""1102003"":169,""1102001"":338,""1102004"":169,""1102002"":1}",0.2,1,1,5
6014104,500,36,20,33,1.25,1,1,"{""1101001"":0.014}",0.3,0.72,13,1.2,0,0,1,"{""1101001"":1013,""1101002"":1013,""1102003"":254,""1102001"":507,""1102004"":254,""1102002"":1}",0.3,1,1,5
6014105,500,49,28,45,1.25,1,1,"{""1101001"":0.019}",0.4,0.84,15,1.2,0,0,1,"{""1101001"":1519,""1101002"":1519,""1102003"":380,""1102001"":760,""1102004"":380,""1102002"":1}",0.4,1,1,5
6014106,500,65,40,60,1.25,1,1,"{""1101001"":0.025}",0.5,0.96,17,1.2,0,0,1,"{""1101001"":2279,""1101002"":2279,""1102003"":570,""1102001"":1140,""1102004"":570,""1102002"":1}",0.5,1,1,5
6014107,500,88,55,82,1.25,1,1,"{""1101001"":0.035}",0.65,1.2,21,1.2,0,0,1,"{""1101001"":3418,""1101002"":3418,""1102003"":855,""1102001"":1710,""1102004"":855,""1102002"":1}",0.65,1,1,5
6014108,500,120,76,111,1.25,1,1,"{""1101001"":0.046}",0.8,1.38,25,1.2,0,0,1,"{""1101001"":5127,""1101002"":5127,""1102003"":1283,""1102001"":2565,""1102004"":1283,""1102002"":1}",0.8,1,1,5
6014109,500,162,105,150,1.25,1,1,"{""1101001"":0.063}",0.95,1.56,28,1.2,0,0,1,"{""1101001"":7691,""1101002"":7691,""1102003"":1924,""1102001"":3848,""1102004"":1924,""1102002"":1}",0.95,1,1,5
6014110,500,215,150,200,1.25,1,1,"{""1101001"":0.086}",1.15,1.8,32,1.2,0,0,1,"{""1101001"":11536,""1101002"":11536,""1102003"":2886,""1102001"":5772,""1102004"":2886,""1102002"":1}",1.15,1,1,5
6014201,500,10,12,14,1,1,1,"{""1101001"":0.008}",0.15,0.48,10,1.8,0,0,1,"{""1101001"":375,""1101002"":375,""1102002"":1}",0.15,1,2,5
6014202,500,14,17,19,1,1,1,"{""1101001"":0.01}",0.2,0.54,12,1.8,0,0,1,"{""1101001"":563,""1101002"":563,""1102003"":282,""1102001"":282,""1102002"":1}",0.2,1,2,5
6014203,500,19,24,26,1,1,1,"{""1101001"":0.014}",0.3,0.6,12,1.8,0,0,1,"{""1101001"":844,""1101002"":844,""1102003"":423,""1102001"":423,""1102002"":1}",0.3,1,2,5
6014204,500,26,33,36,1,1,1,"{""1101001"":0.018}",0.4,0.72,15,1.8,0,0,1,"{""1101001"":1266,""1101002"":1266,""1102003"":634,""1102001"":634,""1102002"":1}",0.4,1,2,5
6014205,500,35,45,50,1,1,1,"{""1101001"":0.025}",0.5,0.84,17,1.8,0,0,1,"{""1101001"":1899,""1101002"":1899,""1102003"":951,""1102001"":951,""1102002"":1}",0.5,1,2,5
6014206,500,50,60,67,1,1,1,"{""1101001"":0.032}",0.7,0.96,20,1.8,0,0,1,"{""1101001"":2849,""1101002"":2849,""1102003"":1427,""1102001"":1427,""1102002"":1}",0.7,1,2,5
6014207,500,70,80,90,1,1,1,"{""1101001"":0.043}",0.9,1.2,24,1.8,0,0,1,"{""1101001"":4273,""1101002"":4273,""1102003"":2140,""1102001"":2140,""1102002"":1}",0.9,1,2,5
6014208,500,95,110,122,1,1,1,"{""1101001"":0.058}",1.1,1.38,28,1.8,0,0,1,"{""1101001"":6410,""1101002"":6410,""1102003"":3210,""1102001"":3210,""1102002"":1}",1.1,1,2,5
6014209,500,128,148,170,1,1,1,"{""1101001"":0.08}",1.3,1.56,32,1.8,0,0,1,"{""1101001"":9615,""1101002"":9615,""1102003"":4815,""1102001"":4815,""1102002"":1}",1.3,1,2,5
6014210,500,170,200,240,1,1,1,"{""1101001"":0.11}",1.6,1.8,36,1.8,0,0,1,"{""1101001"":14422,""1101002"":14422,""1102003"":7223,""1102001"":7223,""1102002"":1}",1.6,1,2,5
6015101,500,17,7,7,0.5,3,1,"{""1101001"":0.005}",0.1,0.32,5,2,0,0,1,"{""1101001"":240,""1101002"":160}",0.1,2,1,5
6015102,500,24,9,10,0.5,3,1,"{""1101001"":0.005}",0.15,0.36,6,2,0,0,1,"{""1101001"":360,""1101002"":240,""1102003"":75,""1102001"":75,""1102004"":150}",0.15,2,1,5
6015103,500,34,12,14,0.5,3,1,"{""1101001"":0.008}",0.2,0.4,6,2,0,0,1,"{""1101001"":540,""1101002"":360,""1102003"":113,""1102001"":113,""1102004"":225}",0.2,2,1,5
6015104,500,47,17,19,0.5,3,1,"{""1101001"":0.01}",0.3,0.48,8,2,0,0,1,"{""1101001"":810,""1101002"":540,""1102003"":169,""1102001"":169,""1102004"":338}",0.3,2,1,5
6015105,500,66,24,25,0.5,3,1,"{""1101001"":0.013}",0.4,0.56,9,2,0,0,1,"{""1101001"":1215,""1101002"":810,""1102003"":254,""1102001"":254,""1102004"":507}",0.4,2,1,5
6015106,500,90,32,36,0.5,3,1,"{""1101001"":0.018}",0.5,0.64,10,2,0,0,1,"{""1101001"":1823,""1101002"":1216,""1102003"":380,""1102001"":380,""1102004"":760}",0.5,2,1,5
6015107,500,122,44,49,0.5,3,1,"{""1101001"":0.024}",0.65,0.8,12,2,0,0,1,"{""1101001"":2735,""1101002"":1823,""1102003"":570,""1102001"":570,""1102004"":1140}",0.65,2,1,5
6015108,500,168,60,66,0.5,3,1,"{""1101001"":0.032}",0.8,0.92,14,2,0,0,1,"{""1101001"":4102,""1101002"":2735,""1102003"":855,""1102001"":855,""1102004"":1710}",0.8,2,1,5
6015109,500,234,80,90,0.5,3,1,"{""1101001"":0.043}",0.95,1.04,16,2,0,0,1,"{""1101001"":6153,""1101002"":4102,""1102003"":1283,""1102001"":1283,""1102004"":2565}",0.95,2,1,5
6015110,500,320,110,120,0.5,3,1,"{""1101001"":0.058}",1.15,1.2,18,2,0,0,1,"{""1101001"":9229,""1101002"":6153,""1102003"":1924,""1102001"":1924,""1102004"":3848}",1.15,2,1,5
6015201,500,16,8,10,0.8,3,1,"{""1101001"":0.005}",0.15,0.32,8,1.5,0,0,1,"{""1101001"":240,""1101002"":360,""1102002"":1}",0.15,2,1,5
6015202,500,22,11,14,0.8,3,1,"{""1101001"":0.007}",0.2,0.36,9,1.5,0,0,1,"{""1101001"":360,""1101002"":540,""1102003"":225,""1102001"":113,""1102004"":113,""1102002"":1}",0.2,2,1,5
6015203,500,30,16,19,0.8,3,1,"{""1101001"":0.01}",0.25,0.4,9,1.5,0,0,1,"{""1101001"":540,""1101002"":810,""1102003"":338,""1102001"":169,""1102004"":169,""1102002"":1}",0.25,2,1,5
6015204,500,41,22,26,0.8,3,1,"{""1101001"":0.013}",0.35,0.48,11,1.5,0,0,1,"{""1101001"":810,""1101002"":1215,""1102003"":507,""1102001"":254,""1102004"":254,""1102002"":1}",0.35,2,1,5
6015205,500,57,30,36,0.8,3,1,"{""1101001"":0.017}",0.45,0.56,13,1.5,0,0,1,"{""1101001"":1216,""1101002"":1823,""1102003"":760,""1102001"":380,""1102004"":380,""1102002"":1}",0.45,2,1,5
6015206,500,80,40,49,0.8,3,1,"{""1101001"":0.023}",0.55,0.64,15,1.5,0,0,1,"{""1101001"":1823,""1101002"":2735,""1102003"":1140,""1102001"":570,""1102004"":570,""1102002"":1}",0.55,2,1,5
6015207,500,110,55,66,0.8,3,1,"{""1101001"":0.031}",0.7,0.8,18,1.5,0,0,1,"{""1101001"":2735,""1101002"":4102,""1102003"":1710,""1102001"":855,""1102004"":855,""1102002"":1}",0.7,2,1,5
6015208,500,150,75,90,0.8,3,1,"{""1101001"":0.042}",0.85,0.92,21,1.5,0,0,1,"{""1101001"":4102,""1101002"":6153,""1102003"":2565,""1102001"":1283,""1102004"":1283,""1102002"":1}",0.85,2,1,5
6015209,500,210,100,121,0.8,3,1,"{""1101001"":0.055}",1,1.04,24,1.5,0,0,1,"{""1101001"":6153,""1101002"":9229,""1102003"":3848,""1102001"":1924,""1102004"":1924,""1102002"":1}",1,2,1,5
6015210,500,290,140,160,0.8,3,1,"{""1101001"":0.075}",1.2,1.2,27,1.5,0,0,1,"{""1101001"":9229,""1101002"":13844,""1102003"":5772,""1102001"":2886,""1102004"":2886,""1102002"":1}",1.2,2,1,5
6016101,500,25,14,25,0.25,1,0.2,"{""1101001"":0.01}",0.2,0.4,12,2,0,0,1,"{""1101002"":375,""1101003"":375}",0.2,3,3,5
6016102,500,35,19,35,0.25,1,0.2,"{""1101001"":0.014}",0.3,0.45,14,2,0,0,1,"{""1101002"":563,""1101003"":563,""1102003"":141,""1102001"":141,""1102004"":282}",0.3,3,3,5
6016103,500,50,25,48,0.25,1,0.2,"{""1101001"":0.019}",0.4,0.5,15,2,0,0,1,"{""1101002"":844,""1101003"":844,""1102003"":212,""1102001"":212,""1102004"":423}",0.4,3,3,5
6016104,500,70,35,63,0.25,1,0.2,"{""1101001"":0.025}",0.5,0.6,18,2,0,0,1,"{""1101002"":1266,""1101003"":1266,""1102003"":317,""1102001"":317,""1102004"":634}",0.5,3,3,5
6016105,500,100,49,80,0.25,1,0.2,"{""1101001"":0.032}",0.7,0.7,21,2,0,0,1,"{""1101002"":1899,""1101003"":1899,""1102003"":476,""1102001"":476,""1102004"":951}",0.7,3,3,5
6016106,500,130,70,110,0.25,1,0.2,"{""1101001"":0.045}",0.9,0.8,24,2,0,0,1,"{""1101002"":2849,""1101003"":2849,""1102003"":714,""1102001"":714,""1102004"":1427}",0.9,3,3,5
6016107,500,170,100,150,0.25,1,0.2,"{""1101001"":0.061}",1.1,1,30,2,0,0,1,"{""1101002"":4273,""1101003"":4273,""1102003"":1070,""1102001"":1070,""1102004"":2140}",1.1,3,3,5
6016108,500,230,140,200,0.25,1,0.2,"{""1101001"":0.084}",1.4,1.15,35,2,0,0,1,"{""1101002"":6410,""1101003"":6410,""1102003"":1605,""1102001"":1605,""1102004"":3210}",1.4,3,3,5
6016109,500,310,190,274,0.25,1,0.2,"{""1101001"":0.114}",1.7,1.3,39,2,0,0,1,"{""1101002"":9615,""1101003"":9615,""1102003"":2408,""1102001"":2408,""1102004"":4815}",1.7,3,3,5
6016110,500,410,260,380,0.25,1,0.2,"{""1101001"":0.156}",2.1,1.5,45,2,0,0,1,"{""1101002"":14422,""1101003"":14422,""1102003"":3612,""1102001"":3612,""1102004"":7223}",2.1,3,3,5
6011101,550,3,8,25,0.5,3,1,{},0,0,0,0,0,0,1,,,2,1,5
6011102,575,3,8,25,0.5,3,1,{},0,0,0,0,0,0,1,,,2,1,5
6011103,600,3,8,25,0.5,3,1,{},0,0,0,0,0,0,1,,,2,1,5
6011104,625,6,10,35,0.5,3,1,{},0,0,0,0,0,0,1,,,2,1,5
6011105,650,6,10,35,0.5,3,1,{},0,0,0,0,0,0,1,,,2,1,5
6011106,675,6,10,35,0.5,3,1,{},0,0,0,0,0,0,1,,,2,1,5
6011107,700,9,12,45,0.5,3,1,{},0,0,0,0,0,0,1,,,2,1,5
6011108,725,9,12,45,0.5,3,1,{},0,0,0,0,0,0,1,,,2,1,5
6011109,750,9,12,45,0.5,3,1,{},0,0,0,0,0,0,1,,,2,1,5
6011110,775,12,14,55,0.5,3,1,{},0,0,0,0,0,0,1,,,2,1,5
6011111,800,12,14,55,0.5,3,1,{},0,0,0,0,0,0,1,,,2,1,5
6011112,825,12,14,55,0.5,3,1,{},0,0,0,0,0,0,1,,,2,1,5
6011113,850,15,16,65,0.5,3,1,{},0,0,0,0,0,0,1,,,2,1,5
6011114,875,15,16,65,0.5,3,1,{},0,0,0,0,0,0,1,,,2,1,5
6011115,900,15,16,65,0.5,3,1,{},0,0,0,0,0,0,1,,,2,1,5
6011116,925,18,18,75,0.5,3,1,{},0,0,0,0,0,0,1,,,2,1,5
6011117,950,18,18,75,0.5,3,1,{},0,0,0,0,0,0,1,,,2,1,5
6011118,975,18,18,75,0.5,3,1,{},0,0,0,0,0,0,1,,,2,1,5
6011119,1000,21,20,85,0.5,3,1,{},0,0,0,0,0,0,1,,,2,1,5
6011120,1025,21,20,85,0.5,3,1,{},0,0,0,0,0,0,1,,,2,1,5
6011121,1050,21,20,85,0.5,3,1,{},0,0,0,0,0,0,1,,,2,1,5
6011122,1075,24,22,85,0.5,3,1,{},0,0,0,0,0,0,1,,,2,1,5
6011123,1100,24,22,85,0.5,3,1,{},0,0,0,0,0,0,1,,,2,1,5
6011124,1125,24,22,85,0.5,3,1,{},0,0,0,0,0,0,1,,,2,1,5
6011125,1150,27,24,85,0.5,3,1,{},0,0,0,0,0,0,1,,,2,1,5
6011126,1175,27,24,85,0.5,3,1,{},0,0,0,0,0,0,1,,,2,1,5
6011127,1200,27,24,85,0.5,3,1,{},0,0,0,0,0,0,1,,,2,1,5
6011128,1225,30,26,85,0.5,3,1,{},0,0,0,0,0,0,1,,,2,1,5
6011129,1250,30,26,85,0.5,3,1,{},0,0,0,0,0,0,1,,,2,1,5
6011130,1275,30,26,85,0.5,3,1,{},0,0,0,0,0,0,1,,,2,1,5
6017101,1,0,45,300000,1,1,1,{},0,0,0,0,0,0,1,,,2,1,5
6017102,1,100,400,100000,0.5,1,1,{},0,0,0,0,0,0,1,,,2,1,5
6001101,500,1,10,15,0.5,1,1,{},0,0,0,0,0,0,1,,,1,1,5
6003101,500,1,8,10,0.5,3,1,{},0,0,0,0,0,0,1,,,2,1,5
6005201,500,2,15,15,0.5,1,1,{},0,0,0,0,0,0,1,,,1,1,5
6005202,500,4,15,20,0.5,1,1,{},0,0,0,0,0,0,1,,,1,1,5
6007101,500,4,9,12,0.5,3,1,{},0,0,0,0,0,0,1,,,2,1,5
6007102,500,6,9,15,0.5,3,1,{},0,0,0,0,0,0,1,,,2,1,5
