chest_id,resource_id,chest_level,chest_defense,chest_health,ui_icon,map_icon,arm_def_type
4001514,"[1102002,13000]",14,140,1,bx_baoxiangxiangqin,bx_luodi3,1
4001515,"[1102002,14000]",15,150,1,bx_baoxiangxiangqin,bx_luodi3,1
4001516,"[1102002,15000]",16,160,1,bx_baoxiangxiangqin,bx_luodi3,1
4001517,"[1102002,16000]",17,170,1,bx_baoxiangxiangqin,bx_luodi3,1
4001518,"[1102002,17000]",18,180,1,bx_baoxiangxiangqin,bx_luodi3,1
4001519,"[1102002,18000]",19,190,1,bx_baoxiangxiangqin,bx_luodi3,1
4001520,"[1102002,19000]",20,200,1,bx_baoxiangxiangqin,bx_luodi3,1
4001601,"[1102001,0]",1,10,1,bx_baoxiangxiangqin3,bx_luodi1,1
4001602,"[1102001,1000]",2,20,1,bx_baoxiangxiangqin3,bx_luodi1,1
4001603,"[1102001,2000]",3,30,1,bx_baoxiangxiangqin3,bx_luodi1,1
4001604,"[1102001,3000]",4,40,1,bx_baoxiangxiangqin3,bx_luodi1,1
4001605,"[1102001,4000]",5,50,1,bx_baoxiangxiangqin3,bx_luodi1,1
4001606,"[1102001,5000]",6,60,1,bx_baoxiangxiangqin3,bx_luodi1,1
4001607,"[1102001,6000]",7,70,1,bx_baoxiangxiangqin2,bx_luodi2,1
4001608,"[1102001,7000]",8,80,1,bx_baoxiangxiangqin2,bx_luodi2,1
4001609,"[1102001,8000]",9,90,1,bx_baoxiangxiangqin2,bx_luodi2,1
4001610,"[1102001,9000]",10,100,1,bx_baoxiangxiangqin2,bx_luodi2,1
4001611,"[1102001,10000]",11,110,1,bx_baoxiangxiangqin2,bx_luodi2,1
4001612,"[1102001,11000]",12,120,1,bx_baoxiangxiangqin2,bx_luodi2,1
4001613,"[1102001,12000]",13,130,1,bx_baoxiangxiangqin2,bx_luodi2,1
4001614,"[1102001,13000]",14,140,1,bx_baoxiangxiangqin,bx_luodi3,1
4001615,"[1102001,14000]",15,150,1,bx_baoxiangxiangqin,bx_luodi3,1
4001616,"[1102001,15000]",16,160,1,bx_baoxiangxiangqin,bx_luodi3,1
4001617,"[1102001,16000]",17,170,1,bx_baoxiangxiangqin,bx_luodi3,1
4001618,"[1102001,17000]",18,180,1,bx_baoxiangxiangqin,bx_luodi3,1
4001619,"[1102001,18000]",19,190,1,bx_baoxiangxiangqin,bx_luodi3,1
4001620,"[1102001,19000]",20,200,1,bx_baoxiangxiangqin,bx_luodi3,1
4001701,"[1102003,0]",1,10,1,bx_baoxiangxiangqin3,bx_luodi1,1
4001702,"[1102003,1000]",2,20,1,bx_baoxiangxiangqin3,bx_luodi1,1
4001703,"[1102003,2000]",3,30,1,bx_baoxiangxiangqin3,bx_luodi1,1
4001704,"[1102003,3000]",4,40,1,bx_baoxiangxiangqin3,bx_luodi1,1
4001705,"[1102003,4000]",5,50,1,bx_baoxiangxiangqin3,bx_luodi1,1
4001706,"[1102003,5000]",6,60,1,bx_baoxiangxiangqin3,bx_luodi1,1
4001707,"[1102003,6000]",7,70,1,bx_baoxiangxiangqin2,bx_luodi2,1
4001708,"[1102003,7000]",8,80,1,bx_baoxiangxiangqin2,bx_luodi2,1
4001709,"[1102003,8000]",9,90,1,bx_baoxiangxiangqin2,bx_luodi2,1
4001710,"[1102003,9000]",10,100,1,bx_baoxiangxiangqin2,bx_luodi2,1
4001711,"[1102003,10000]",11,110,1,bx_baoxiangxiangqin2,bx_luodi2,1
4001712,"[1102003,11000]",12,120,1,bx_baoxiangxiangqin2,bx_luodi2,1
4001713,"[1102003,12000]",13,130,1,bx_baoxiangxiangqin2,bx_luodi2,1
4001714,"[1102003,13000]",14,140,1,bx_baoxiangxiangqin,bx_luodi3,1
4001715,"[1102003,14000]",15,150,1,bx_baoxiangxiangqin,bx_luodi3,1
4001716,"[1102003,15000]",16,160,1,bx_baoxiangxiangqin,bx_luodi3,1
4001717,"[1102003,16000]",17,170,1,bx_baoxiangxiangqin,bx_luodi3,1
4001718,"[1102003,17000]",18,180,1,bx_baoxiangxiangqin,bx_luodi3,1
4001719,"[1102003,18000]",19,190,1,bx_baoxiangxiangqin,bx_luodi3,1
4001720,"[1102003,19000]",20,200,1,bx_baoxiangxiangqin,bx_luodi3,1
4001801,"[1102004,0]",1,10,1,bx_baoxiangxiangqin3,bx_luodi1,1
4001802,"[1102004,1000]",2,20,1,bx_baoxiangxiangqin3,bx_luodi1,1
4001803,"[1102004,2000]",3,30,1,bx_baoxiangxiangqin3,bx_luodi1,1
4001804,"[1102004,3000]",4,40,1,bx_baoxiangxiangqin3,bx_luodi1,1
4001805,"[1102004,4000]",5,50,1,bx_baoxiangxiangqin3,bx_luodi1,1
4001806,"[1102004,5000]",6,60,1,bx_baoxiangxiangqin3,bx_luodi1,1
4001807,"[1102004,6000]",7,70,1,bx_baoxiangxiangqin2,bx_luodi2,1
4001808,"[1102004,7000]",8,80,1,bx_baoxiangxiangqin2,bx_luodi2,1
4001809,"[1102004,8000]",9,90,1,bx_baoxiangxiangqin2,bx_luodi2,1
4001810,"[1102004,9000]",10,100,1,bx_baoxiangxiangqin2,bx_luodi2,1
4001811,"[1102004,10000]",11,110,1,bx_baoxiangxiangqin2,bx_luodi2,1
4001812,"[1102004,11000]",12,120,1,bx_baoxiangxiangqin2,bx_luodi2,1
4001813,"[1102004,12000]",13,130,1,bx_baoxiangxiangqin2,bx_luodi2,1
4001814,"[1102004,13000]",14,140,1,bx_baoxiangxiangqin,bx_luodi3,1
4001815,"[1102004,14000]",15,150,1,bx_baoxiangxiangqin,bx_luodi3,1
4001816,"[1102004,15000]",16,160,1,bx_baoxiangxiangqin,bx_luodi3,1
4001817,"[1102004,16000]",17,170,1,bx_baoxiangxiangqin,bx_luodi3,1
4001818,"[1102004,17000]",18,180,1,bx_baoxiangxiangqin,bx_luodi3,1
4001819,"[1102004,18000]",19,190,1,bx_baoxiangxiangqin,bx_luodi3,1
4001820,"[1102004,19000]",20,200,1,bx_baoxiangxiangqin,bx_luodi3,1
4001901,"[1103002,0]",1,10,1,bx_baoxiangxiangqin3,bx_luodi1,1
4001902,"[1103002,5000]",2,20,1,bx_baoxiangxiangqin3,bx_luodi1,1
4001903,"[1103002,10000]",3,30,1,bx_baoxiangxiangqin3,bx_luodi1,1
4001904,"[1103002,20000]",4,40,1,bx_baoxiangxiangqin3,bx_luodi1,1
4001905,"[1103002,30000]",5,50,1,bx_baoxiangxiangqin3,bx_luodi1,1
4001906,"[1103002,40000]",6,60,1,bx_baoxiangxiangqin3,bx_luodi1,1
4001907,"[1103002,50000]",7,70,1,bx_baoxiangxiangqin2,bx_luodi2,1
4001908,"[1103002,60000]",8,80,1,bx_baoxiangxiangqin2,bx_luodi2,1
4001909,"[1103002,70000]",9,90,1,bx_baoxiangxiangqin2,bx_luodi2,1
4001910,"[1103002,80000]",10,100,1,bx_baoxiangxiangqin2,bx_luodi2,1
4001911,"[1103002,90000]",11,110,1,bx_baoxiangxiangqin2,bx_luodi2,1
4001912,"[1103002,100000]",12,120,1,bx_baoxiangxiangqin2,bx_luodi2,1
4001913,"[1103002,110000]",13,130,1,bx_baoxiangxiangqin2,bx_luodi2,1
4001914,"[1103002,120000]",14,140,1,bx_baoxiangxiangqin,bx_luodi3,1
4001915,"[1103002,130000]",15,150,1,bx_baoxiangxiangqin,bx_luodi3,1
4001916,"[1103002,140000]",16,160,1,bx_baoxiangxiangqin,bx_luodi3,1
4001917,"[1103002,150000]",17,170,1,bx_baoxiangxiangqin,bx_luodi3,1
4001918,"[1103002,160000]",18,180,1,bx_baoxiangxiangqin,bx_luodi3,1
4001919,"[1103002,170000]",19,190,1,bx_baoxiangxiangqin,bx_luodi3,1
4001920,"[1103002,180000]",20,200,1,bx_baoxiangxiangqin,bx_luodi3,1
