task_id,reward1_id,reward2_id
5700040,"{""1"":""2008101"",""2"":""2008101"",""3"":""2008101"",""4"":""2008101"",""5"":""2008101""}","{""1"":""2008201"",""2"":""2008201"",""3"":""2008201"",""4"":""2008201"",""5"":""2008201""}"
5700041,"{""1"":""2008101"",""2"":""2008101"",""3"":""2008101"",""4"":""2008101"",""5"":""2008101""}","{""1"":""2008201"",""2"":""2008201"",""3"":""2008201"",""4"":""2008201"",""5"":""2008201""}"
5700042,"{""1"":""2008101"",""2"":""2008101"",""3"":""2008101"",""4"":""2008101"",""5"":""2008101""}","{""1"":""2008201"",""2"":""2008201"",""3"":""2008201"",""4"":""2008201"",""5"":""2008201""}"
5700043,"{""1"":""2008101"",""2"":""2008101"",""3"":""2008101"",""4"":""2008101"",""5"":""2008101""}","{""1"":""2008201"",""2"":""2008201"",""3"":""2008201"",""4"":""2008201"",""5"":""2008201""}"
5700044,"{""1"":""2008101"",""2"":""2008101"",""3"":""2008101"",""4"":""2008101"",""5"":""2008101""}","{""1"":""2008201"",""2"":""2008201"",""3"":""2008201"",""4"":""2008201"",""5"":""2008201""}"
5700045,"{""1"":""2008101"",""2"":""2008101"",""3"":""2008101"",""4"":""2008101"",""5"":""2008101""}","{""1"":""2008201"",""2"":""2008201"",""3"":""2008201"",""4"":""2008201"",""5"":""2008201""}"
5700046,"{""1"":""2008101"",""2"":""2008101"",""3"":""2008101"",""4"":""2008101"",""5"":""2008101""}","{""1"":""2008201"",""2"":""2008201"",""3"":""2008201"",""4"":""2008201"",""5"":""2008201""}"
5700047,"{""1"":""2008101"",""2"":""2008101"",""3"":""2008101"",""4"":""2008101"",""5"":""2008101""}","{""1"":""2008201"",""2"":""2008201"",""3"":""2008201"",""4"":""2008201"",""5"":""2008201""}"
5700048,"{""1"":""2008101"",""2"":""2008101"",""3"":""2008101"",""4"":""2008101"",""5"":""2008101""}","{""1"":""2008201"",""2"":""2008201"",""3"":""2008201"",""4"":""2008201"",""5"":""2008201""}"
5700049,"{""1"":""2008101"",""2"":""2008101"",""3"":""2008101"",""4"":""2008101"",""5"":""2008101""}","{""1"":""2008201"",""2"":""2008201"",""3"":""2008201"",""4"":""2008201"",""5"":""2008201""}"
5700050,"{""1"":""2008101"",""2"":""2008101"",""3"":""2008101"",""4"":""2008101"",""5"":""2008101""}","{""1"":""2008201"",""2"":""2008201"",""3"":""2008201"",""4"":""2008201"",""5"":""2008201""}"
5700051,"{""1"":""2008101"",""2"":""2008101"",""3"":""2008101"",""4"":""2008101"",""5"":""2008101""}","{""1"":""2008201"",""2"":""2008201"",""3"":""2008201"",""4"":""2008201"",""5"":""2008201""}"
5700052,"{""1"":""2008101"",""2"":""2008101"",""3"":""2008101"",""4"":""2008101"",""5"":""2008101""}","{""1"":""2008201"",""2"":""2008201"",""3"":""2008201"",""4"":""2008201"",""5"":""2008201""}"
5700053,"{""1"":""2008101"",""2"":""2008101"",""3"":""2008101"",""4"":""2008101"",""5"":""2008101""}","{""1"":""2008201"",""2"":""2008201"",""3"":""2008201"",""4"":""2008201"",""5"":""2008201""}"
5700054,"{""1"":""2008101"",""2"":""2008101"",""3"":""2008101"",""4"":""2008101"",""5"":""2008101""}","{""1"":""2008201"",""2"":""2008201"",""3"":""2008201"",""4"":""2008201"",""5"":""2008201""}"
5700055,"{""1"":""2008101"",""2"":""2008101"",""3"":""2008101"",""4"":""2008101"",""5"":""2008101""}","{""1"":""2008201"",""2"":""2008201"",""3"":""2008201"",""4"":""2008201"",""5"":""2008201""}"
5700056,"{""1"":""2008101"",""2"":""2008101"",""3"":""2008101"",""4"":""2008101"",""5"":""2008101""}","{""1"":""2008201"",""2"":""2008201"",""3"":""2008201"",""4"":""2008201"",""5"":""2008201""}"
5700057,"{""1"":""2008101"",""2"":""2008101"",""3"":""2008101"",""4"":""2008101"",""5"":""2008101""}","{""1"":""2008201"",""2"":""2008201"",""3"":""2008201"",""4"":""2008201"",""5"":""2008201""}"
5700058,"{""1"":""2008101"",""2"":""2008101"",""3"":""2008101"",""4"":""2008101"",""5"":""2008101""}","{""1"":""2008201"",""2"":""2008201"",""3"":""2008201"",""4"":""2008201"",""5"":""2008201""}"
5700059,"{""1"":""2008101"",""2"":""2008101"",""3"":""2008101"",""4"":""2008101"",""5"":""2008101""}","{""1"":""2008201"",""2"":""2008201"",""3"":""2008201"",""4"":""2008201"",""5"":""2008201""}"
5700060,"{""1"":""2008101"",""2"":""2008101"",""3"":""2008101"",""4"":""2008101"",""5"":""2008101""}","{""1"":""2008201"",""2"":""2008201"",""3"":""2008201"",""4"":""2008201"",""5"":""2008201""}"
5700061,"{""1"":""2008101"",""2"":""2008101"",""3"":""2008101"",""4"":""2008101"",""5"":""2008101""}","{""1"":""2008201"",""2"":""2008201"",""3"":""2008201"",""4"":""2008201"",""5"":""2008201""}"
5700062,"{""1"":""2008101"",""2"":""2008101"",""3"":""2008101"",""4"":""2008101"",""5"":""2008101""}","{""1"":""2008201"",""2"":""2008201"",""3"":""2008201"",""4"":""2008201"",""5"":""2008201""}"
5700063,"{""1"":""2008101"",""2"":""2008101"",""3"":""2008101"",""4"":""2008101"",""5"":""2008101""}","{""1"":""2008201"",""2"":""2008201"",""3"":""2008201"",""4"":""2008201"",""5"":""2008201""}"
5700064,"{""1"":""2008101"",""2"":""2008101"",""3"":""2008101"",""4"":""2008101"",""5"":""2008101""}","{""1"":""2008201"",""2"":""2008201"",""3"":""2008201"",""4"":""2008201"",""5"":""2008201""}"
5700065,"{""1"":""2008101"",""2"":""2008101"",""3"":""2008101"",""4"":""2008101"",""5"":""2008101""}","{""1"":""2008201"",""2"":""2008201"",""3"":""2008201"",""4"":""2008201"",""5"":""2008201""}"
5700066,"{""1"":""2008101"",""2"":""2008101"",""3"":""2008101"",""4"":""2008101"",""5"":""2008101""}","{""1"":""2008201"",""2"":""2008201"",""3"":""2008201"",""4"":""2008201"",""5"":""2008201""}"
5700067,"{""1"":""2008101"",""2"":""2008101"",""3"":""2008101"",""4"":""2008101"",""5"":""2008101""}","{""1"":""2008201"",""2"":""2008201"",""3"":""2008201"",""4"":""2008201"",""5"":""2008201""}"
5700068,"{""1"":""2008101"",""2"":""2008101"",""3"":""2008101"",""4"":""2008101"",""5"":""2008101""}","{""1"":""2008201"",""2"":""2008201"",""3"":""2008201"",""4"":""2008201"",""5"":""2008201""}"
5700069,"{""1"":""2008101"",""2"":""2008101"",""3"":""2008101"",""4"":""2008101"",""5"":""2008101""}","{""1"":""2008201"",""2"":""2008201"",""3"":""2008201"",""4"":""2008201"",""5"":""2008201""}"
5700070,"{""1"":""2008101"",""2"":""2008101"",""3"":""2008101"",""4"":""2008101"",""5"":""2008101""}","{""1"":""2008201"",""2"":""2008201"",""3"":""2008201"",""4"":""2008201"",""5"":""2008201""}"
5700071,"{""1"":""2008101"",""2"":""2008101"",""3"":""2008101"",""4"":""2008101"",""5"":""2008101""}","{""1"":""2008201"",""2"":""2008201"",""3"":""2008201"",""4"":""2008201"",""5"":""2008201""}"
5700072,"{""1"":""2008101"",""2"":""2008101"",""3"":""2008101"",""4"":""2008101"",""5"":""2008101""}","{""1"":""2008201"",""2"":""2008201"",""3"":""2008201"",""4"":""2008201"",""5"":""2008201""}"
5700073,"{""1"":""2008101"",""2"":""2008101"",""3"":""2008101"",""4"":""2008101"",""5"":""2008101""}","{""1"":""2008201"",""2"":""2008201"",""3"":""2008201"",""4"":""2008201"",""5"":""2008201""}"
5700074,"{""1"":""2008101"",""2"":""2008101"",""3"":""2008101"",""4"":""2008101"",""5"":""2008101""}","{""1"":""2008201"",""2"":""2008201"",""3"":""2008201"",""4"":""2008201"",""5"":""2008201""}"
5700075,"{""1"":""2008101"",""2"":""2008101"",""3"":""2008101"",""4"":""2008101"",""5"":""2008101""}","{""1"":""2008201"",""2"":""2008201"",""3"":""2008201"",""4"":""2008201"",""5"":""2008201""}"
5700076,"{""1"":""2008101"",""2"":""2008101"",""3"":""2008101"",""4"":""2008101"",""5"":""2008101""}","{""1"":""2008201"",""2"":""2008201"",""3"":""2008201"",""4"":""2008201"",""5"":""2008201""}"
5700077,"{""1"":""2008101"",""2"":""2008101"",""3"":""2008101"",""4"":""2008101"",""5"":""2008101""}","{""1"":""2008201"",""2"":""2008201"",""3"":""2008201"",""4"":""2008201"",""5"":""2008201""}"
5700078,"{""1"":""2008101"",""2"":""2008101"",""3"":""2008101"",""4"":""2008101"",""5"":""2008101""}","{""1"":""2008201"",""2"":""2008201"",""3"":""2008201"",""4"":""2008201"",""5"":""2008201""}"
5700079,"{""1"":""2008101"",""2"":""2008101"",""3"":""2008101"",""4"":""2008101"",""5"":""2008101""}","{""1"":""2008201"",""2"":""2008201"",""3"":""2008201"",""4"":""2008201"",""5"":""2008201""}"
5700080,"{""1"":""2008101"",""2"":""2008101"",""3"":""2008101"",""4"":""2008101"",""5"":""2008101""}","{""1"":""2008201"",""2"":""2008201"",""3"":""2008201"",""4"":""2008201"",""5"":""2008201""}"
5700081,"{""1"":""2008101"",""2"":""2008101"",""3"":""2008101"",""4"":""2008101"",""5"":""2008101""}","{""1"":""2008201"",""2"":""2008201"",""3"":""2008201"",""4"":""2008201"",""5"":""2008201""}"
5700082,"{""1"":""2008101"",""2"":""2008101"",""3"":""2008101"",""4"":""2008101"",""5"":""2008101""}","{""1"":""2008201"",""2"":""2008201"",""3"":""2008201"",""4"":""2008201"",""5"":""2008201""}"
5700083,"{""1"":""2008101"",""2"":""2008101"",""3"":""2008101"",""4"":""2008101"",""5"":""2008101""}","{""1"":""2008201"",""2"":""2008201"",""3"":""2008201"",""4"":""2008201"",""5"":""2008201""}"
5700084,"{""1"":""2008101"",""2"":""2008101"",""3"":""2008101"",""4"":""2008101"",""5"":""2008101""}","{""1"":""2008201"",""2"":""2008201"",""3"":""2008201"",""4"":""2008201"",""5"":""2008201""}"
5700085,"{""1"":""2008101"",""2"":""2008101"",""3"":""2008101"",""4"":""2008101"",""5"":""2008101""}","{""1"":""2008201"",""2"":""2008201"",""3"":""2008201"",""4"":""2008201"",""5"":""2008201""}"
5700086,"{""1"":""2008101"",""2"":""2008101"",""3"":""2008101"",""4"":""2008101"",""5"":""2008101""}","{""1"":""2008201"",""2"":""2008201"",""3"":""2008201"",""4"":""2008201"",""5"":""2008201""}"
5700087,"{""1"":""2008101"",""2"":""2008101"",""3"":""2008101"",""4"":""2008101"",""5"":""2008101""}","{""1"":""2008201"",""2"":""2008201"",""3"":""2008201"",""4"":""2008201"",""5"":""2008201""}"
5700088,"{""1"":""2008101"",""2"":""2008101"",""3"":""2008101"",""4"":""2008101"",""5"":""2008101""}","{""1"":""2008201"",""2"":""2008201"",""3"":""2008201"",""4"":""2008201"",""5"":""2008201""}"
5700089,"{""1"":""2008101"",""2"":""2008101"",""3"":""2008101"",""4"":""2008101"",""5"":""2008101""}","{""1"":""2008201"",""2"":""2008201"",""3"":""2008201"",""4"":""2008201"",""5"":""2008201""}"
5700090,"{""1"":""2008101"",""2"":""2008101"",""3"":""2008101"",""4"":""2008101"",""5"":""2008101""}","{""1"":""2008201"",""2"":""2008201"",""3"":""2008201"",""4"":""2008201"",""5"":""2008201""}"
5700091,"{""1"":""2008101"",""2"":""2008101"",""3"":""2008101"",""4"":""2008101"",""5"":""2008101""}","{""1"":""2008201"",""2"":""2008201"",""3"":""2008201"",""4"":""2008201"",""5"":""2008201""}"
5700092,"{""1"":""2008101"",""2"":""2008101"",""3"":""2008101"",""4"":""2008101"",""5"":""2008101""}","{""1"":""2008201"",""2"":""2008201"",""3"":""2008201"",""4"":""2008201"",""5"":""2008201""}"
5700093,"{""1"":""2008101"",""2"":""2008101"",""3"":""2008101"",""4"":""2008101"",""5"":""2008101""}","{""1"":""2008201"",""2"":""2008201"",""3"":""2008201"",""4"":""2008201"",""5"":""2008201""}"
5700094,"{""1"":""2008101"",""2"":""2008101"",""3"":""2008101"",""4"":""2008101"",""5"":""2008101""}","{""1"":""2008201"",""2"":""2008201"",""3"":""2008201"",""4"":""2008201"",""5"":""2008201""}"
5700095,"{""1"":""2008101"",""2"":""2008101"",""3"":""2008101"",""4"":""2008101"",""5"":""2008101""}","{""1"":""2008201"",""2"":""2008201"",""3"":""2008201"",""4"":""2008201"",""5"":""2008201""}"
5700096,"{""1"":""2008101"",""2"":""2008101"",""3"":""2008101"",""4"":""2008101"",""5"":""2008101""}","{""1"":""2008201"",""2"":""2008201"",""3"":""2008201"",""4"":""2008201"",""5"":""2008201""}"
5700097,"{""1"":""2008101"",""2"":""2008101"",""3"":""2008101"",""4"":""2008101"",""5"":""2008101""}","{""1"":""2008201"",""2"":""2008201"",""3"":""2008201"",""4"":""2008201"",""5"":""2008201""}"
5700098,"{""1"":""2008101"",""2"":""2008101"",""3"":""2008101"",""4"":""2008101"",""5"":""2008101""}","{""1"":""2008201"",""2"":""2008201"",""3"":""2008201"",""4"":""2008201"",""5"":""2008201""}"
5700099,"{""1"":""2008101"",""2"":""2008101"",""3"":""2008101"",""4"":""2008101"",""5"":""2008101""}","{""1"":""2008201"",""2"":""2008201"",""3"":""2008201"",""4"":""2008201"",""5"":""2008201""}"
5700100,"{""1"":""2008101"",""2"":""2008101"",""3"":""2008101"",""4"":""2008101"",""5"":""2008101""}","{""1"":""2008201"",""2"":""2008201"",""3"":""2008201"",""4"":""2008201"",""5"":""2008201""}"
5700101,"{""1"":""2008101"",""2"":""2008101"",""3"":""2008101"",""4"":""2008101"",""5"":""2008101""}","{""1"":""2008201"",""2"":""2008201"",""3"":""2008201"",""4"":""2008201"",""5"":""2008201""}"
5700102,"{""1"":""2008101"",""2"":""2008101"",""3"":""2008101"",""4"":""2008101"",""5"":""2008101""}","{""1"":""2008201"",""2"":""2008201"",""3"":""2008201"",""4"":""2008201"",""5"":""2008201""}"
5700103,"{""1"":""2008101"",""2"":""2008101"",""3"":""2008101"",""4"":""2008101"",""5"":""2008101""}","{""1"":""2008201"",""2"":""2008201"",""3"":""2008201"",""4"":""2008201"",""5"":""2008201""}"
5700104,"{""1"":""2008101"",""2"":""2008101"",""3"":""2008101"",""4"":""2008101"",""5"":""2008101""}","{""1"":""2008201"",""2"":""2008201"",""3"":""2008201"",""4"":""2008201"",""5"":""2008201""}"
