task_id,task_last,task_city,task_class,task_type,accumulation,task_need,task_reward
3010041,3010040,1,1,1,0,"{""1902002"":[1,4]}","{""1101201"":82000,""1101202"":82000,""1101203"":82000,""1102003"":43000,""1102001"":43000,""1102004"":43000}"
3010042,3010041,1,1,1,0,"{""1902003"":[1,4]}","{""1101201"":82000,""1101202"":82000,""1101203"":82000,""1102003"":43000,""1102001"":43000,""1102004"":43000}"
3010043,3010042,1,1,1,0,"{""1902001"":[1,4]}","{""1101201"":82000,""1101202"":82000,""1101203"":82000,""1102003"":43000,""1102001"":43000,""1102004"":43000}"
3010044,3010043,1,1,1,0,"{""1902004"":[1,4]}","{""1101201"":82000,""1101202"":82000,""1101203"":82000,""1102003"":43000,""1102001"":43000,""1102004"":43000}"
3010045,3010044,1,1,1,0,"{""1913001"":[1,4]}","{""1101201"":24000,""1101202"":24000,""1101203"":24000,""1102003"":12000,""1102001"":12000,""1102004"":12000}"
3010046,3010045,1,1,4,1,"{""1201102"":[100]}","{""1101201"":24000,""1101202"":24000,""1101203"":24000,""1102003"":12000,""1102001"":12000,""1102004"":12000}"
3010047,3010046,1,1,4,1,"{""1201202"":[100]}","{""1101201"":24000,""1101202"":24000,""1101203"":24000,""1102003"":12000,""1102001"":12000,""1102004"":12000}"
3010048,3010047,1,1,4,1,"{""1203102"":[100]}","{""1101201"":24000,""1101202"":24000,""1101203"":24000,""1102003"":12000,""1102001"":12000,""1102004"":12000}"
3010049,3010048,1,1,4,1,"{""1203202"":[100]}","{""1101201"":24000,""1101202"":24000,""1101203"":24000,""1102003"":12000,""1102001"":12000,""1102004"":12000}"
3010050,3010049,1,1,4,1,"{""1202102"":[100]}","{""1101201"":24000,""1101202"":24000,""1101203"":24000,""1102003"":12000,""1102001"":12000,""1102004"":12000}"
3010051,3010050,1,1,4,1,"{""1202202"":[100]}","{""1101201"":24000,""1101202"":24000,""1101203"":24000,""1102003"":12000,""1102001"":12000,""1102004"":12000}"
3010052,3010051,1,1,4,1,"{""1204102"":[100]}","{""1101201"":109000,""1101202"":109000,""1101203"":109000,""1102003"":56000,""1102001"":56000,""1102004"":56000}"
3010058,3010052,1,1,1,0,"{""1901001"":[1,5]}","{""1101201"":109000,""1101202"":109000,""1101203"":109000,""1102003"":56000,""1102001"":56000,""1102004"":56000}"
3010059,3010058,1,1,1,0,"{""1906001"":[1,5]}","{""1101201"":109000,""1101202"":109000,""1101203"":109000,""1102003"":56000,""1102001"":56000,""1102004"":56000}"
3010060,3010059,1,1,1,0,"{""1903001"":[1,5]}","{""1101201"":109000,""1101202"":109000,""1101203"":109000,""1102003"":56000,""1102001"":56000,""1102004"":56000}"
3010061,3010060,1,1,1,0,"{""1907001"":[1,5]}","{""1101201"":109000,""1101202"":109000,""1101203"":109000,""1102003"":56000,""1102001"":56000,""1102004"":56000}"
3010062,3010061,1,1,1,0,"{""1909001"":[1,5]}","{""1101201"":109000,""1101202"":109000,""1101203"":109000,""1102003"":56000,""1102001"":56000,""1102004"":56000}"
3010063,3010062,1,1,1,0,"{""1904001"":[1,5]}","{""1101201"":109000,""1101202"":109000,""1101203"":109000,""1102003"":56000,""1102001"":56000,""1102004"":56000}"
3010064,3010063,1,1,1,0,"{""1902002"":[1,5]}","{""1101201"":109000,""1101202"":109000,""1101203"":109000,""1102003"":56000,""1102001"":56000,""1102004"":56000}"
3010065,3010064,1,1,1,0,"{""1902003"":[1,5]}","{""1101201"":109000,""1101202"":109000,""1101203"":109000,""1102003"":56000,""1102001"":56000,""1102004"":56000}"
3010066,3010065,1,1,1,0,"{""1902001"":[1,5]}","{""1101201"":109000,""1101202"":109000,""1101203"":109000,""1102003"":56000,""1102001"":56000,""1102004"":56000}"
3010067,3010066,1,1,1,0,"{""1902004"":[1,5]}","{""1101201"":109000,""1101202"":109000,""1101203"":109000,""1102003"":56000,""1102001"":56000,""1102004"":56000}"
3010068,3010067,1,1,1,0,"{""1913001"":[1,5]}","{""1101201"":120000,""1101202"":120000,""1101203"":120000,""1102003"":62000,""1102001"":62000,""1102004"":62000}"
3010069,3010068,1,1,1,0,"{""1901001"":[1,6]}","{""1101201"":120000,""1101202"":120000,""1101203"":120000,""1102003"":62000,""1102001"":62000,""1102004"":62000}"
3010070,3010069,1,1,1,0,"{""1906001"":[1,6]}","{""1101201"":120000,""1101202"":120000,""1101203"":120000,""1102003"":62000,""1102001"":62000,""1102004"":62000}"
3010071,3010070,1,1,1,0,"{""1903001"":[1,6]}","{""1101201"":120000,""1101202"":120000,""1101203"":120000,""1102003"":62000,""1102001"":62000,""1102004"":62000}"
3010072,3010071,1,1,1,0,"{""1907001"":[1,6]}","{""1101201"":120000,""1101202"":120000,""1101203"":120000,""1102003"":62000,""1102001"":62000,""1102004"":62000}"
3010073,3010072,1,1,1,0,"{""1909001"":[1,6]}","{""1101201"":120000,""1101202"":120000,""1101203"":120000,""1102003"":62000,""1102001"":62000,""1102004"":62000}"
3010074,3010073,1,1,1,0,"{""1904001"":[1,6]}","{""1101201"":120000,""1101202"":120000,""1101203"":120000,""1102003"":62000,""1102001"":62000,""1102004"":62000}"
3010075,3010074,1,1,1,0,"{""1902002"":[1,6]}","{""1101201"":120000,""1101202"":120000,""1101203"":120000,""1102003"":62000,""1102001"":62000,""1102004"":62000}"
3010076,3010075,1,1,1,0,"{""1902003"":[1,6]}","{""1101201"":120000,""1101202"":120000,""1101203"":120000,""1102003"":62000,""1102001"":62000,""1102004"":62000}"
3010077,3010076,1,1,1,0,"{""1902001"":[1,6]}","{""1101201"":120000,""1101202"":120000,""1101203"":120000,""1102003"":62000,""1102001"":62000,""1102004"":62000}"
3010078,3010077,1,1,1,0,"{""1902004"":[1,6]}","{""1101201"":120000,""1101202"":120000,""1101203"":120000,""1102003"":62000,""1102001"":62000,""1102004"":62000}"
3010079,3010078,1,1,1,0,"{""1913001"":[1,6]}","{""1101201"":132000,""1101202"":132000,""1101203"":132000,""1102003"":69000,""1102001"":69000,""1102004"":69000}"
3010080,3010079,1,1,1,0,"{""1901001"":[1,7]}","{""1101201"":132000,""1101202"":132000,""1101203"":132000,""1102003"":69000,""1102001"":69000,""1102004"":69000}"
3010081,3010080,1,1,1,0,"{""1906001"":[1,7]}","{""1101201"":132000,""1101202"":132000,""1101203"":132000,""1102003"":69000,""1102001"":69000,""1102004"":69000}"
3010082,3010081,1,1,1,0,"{""1903001"":[1,7]}","{""1101201"":132000,""1101202"":132000,""1101203"":132000,""1102003"":69000,""1102001"":69000,""1102004"":69000}"
3010083,3010082,1,1,1,0,"{""1907001"":[1,7]}","{""1101201"":132000,""1101202"":132000,""1101203"":132000,""1102003"":69000,""1102001"":69000,""1102004"":69000}"
3010084,3010083,1,1,1,0,"{""1909001"":[1,7]}","{""1101201"":132000,""1101202"":132000,""1101203"":132000,""1102003"":69000,""1102001"":69000,""1102004"":69000}"
3010085,3010084,1,1,1,0,"{""1904001"":[1,7]}","{""1101201"":132000,""1101202"":132000,""1101203"":132000,""1102003"":69000,""1102001"":69000,""1102004"":69000}"
3010086,3010085,1,1,1,0,"{""1902002"":[1,7]}","{""1101201"":132000,""1101202"":132000,""1101203"":132000,""1102003"":69000,""1102001"":69000,""1102004"":69000}"
3010087,3010086,1,1,1,0,"{""1902003"":[1,7]}","{""1101201"":132000,""1101202"":132000,""1101203"":132000,""1102003"":69000,""1102001"":69000,""1102004"":69000}"
3010088,3010087,1,1,1,0,"{""1902001"":[1,7]}","{""1101201"":132000,""1101202"":132000,""1101203"":132000,""1102003"":69000,""1102001"":69000,""1102004"":69000}"
3010089,3010088,1,1,1,0,"{""1902004"":[1,7]}","{""1101201"":132000,""1101202"":132000,""1101203"":132000,""1102003"":69000,""1102001"":69000,""1102004"":69000}"
3010090,3010089,1,1,1,0,"{""1913001"":[1,7]}","{""1101201"":146000,""1101202"":146000,""1101203"":146000,""1102003"":76000,""1102001"":76000,""1102004"":76000}"
3010091,3010090,1,1,1,0,"{""1901001"":[1,8]}","{""1101201"":146000,""1101202"":146000,""1101203"":146000,""1102003"":76000,""1102001"":76000,""1102004"":76000}"
3010092,3010091,1,1,1,0,"{""1906001"":[1,8]}","{""1101201"":146000,""1101202"":146000,""1101203"":146000,""1102003"":76000,""1102001"":76000,""1102004"":76000}"
3010093,3010092,1,1,1,0,"{""1903001"":[1,8]}","{""1101201"":146000,""1101202"":146000,""1101203"":146000,""1102003"":76000,""1102001"":76000,""1102004"":76000}"
3010094,3010093,1,1,1,0,"{""1907001"":[1,8]}","{""1101201"":146000,""1101202"":146000,""1101203"":146000,""1102003"":76000,""1102001"":76000,""1102004"":76000}"
3010095,3010094,1,1,1,0,"{""1909001"":[1,8]}","{""1101201"":146000,""1101202"":146000,""1101203"":146000,""1102003"":76000,""1102001"":76000,""1102004"":76000}"
3010096,3010095,1,1,1,0,"{""1904001"":[1,8]}","{""1101201"":146000,""1101202"":146000,""1101203"":146000,""1102003"":76000,""1102001"":76000,""1102004"":76000}"
3010097,3010096,1,1,1,0,"{""1902002"":[1,8]}","{""1101201"":146000,""1101202"":146000,""1101203"":146000,""1102003"":76000,""1102001"":76000,""1102004"":76000}"
3010098,3010097,1,1,1,0,"{""1902003"":[1,8]}","{""1101201"":146000,""1101202"":146000,""1101203"":146000,""1102003"":76000,""1102001"":76000,""1102004"":76000}"
3010099,3010098,1,1,1,0,"{""1902001"":[1,8]}","{""1101201"":146000,""1101202"":146000,""1101203"":146000,""1102003"":76000,""1102001"":76000,""1102004"":76000}"
3010100,3010099,1,1,1,0,"{""1902004"":[1,8]}","{""1101201"":146000,""1101202"":146000,""1101203"":146000,""1102003"":76000,""1102001"":76000,""1102004"":76000}"
3010101,3010100,1,1,1,0,"{""1913001"":[1,8]}","{""1101201"":161000,""1101202"":161000,""1101203"":161000,""1102003"":84000,""1102001"":84000,""1102004"":84000}"
3010102,3010101,1,1,1,0,"{""1901001"":[1,9]}","{""1101201"":161000,""1101202"":161000,""1101203"":161000,""1102003"":84000,""1102001"":84000,""1102004"":84000}"
3010103,3010102,1,1,1,0,"{""1906001"":[1,9]}","{""1101201"":161000,""1101202"":161000,""1101203"":161000,""1102003"":84000,""1102001"":84000,""1102004"":84000}"
3010104,3010103,1,1,1,0,"{""1903001"":[1,9]}","{""1101201"":161000,""1101202"":161000,""1101203"":161000,""1102003"":84000,""1102001"":84000,""1102004"":84000}"
3010105,3010104,1,1,1,0,"{""1907001"":[1,9]}","{""1101201"":161000,""1101202"":161000,""1101203"":161000,""1102003"":84000,""1102001"":84000,""1102004"":84000}"
3010106,3010105,1,1,1,0,"{""1909001"":[1,9]}","{""1101201"":161000,""1101202"":161000,""1101203"":161000,""1102003"":84000,""1102001"":84000,""1102004"":84000}"
3010107,3010106,1,1,1,0,"{""1904001"":[1,9]}","{""1101201"":161000,""1101202"":161000,""1101203"":161000,""1102003"":84000,""1102001"":84000,""1102004"":84000}"
3010108,3010107,1,1,1,0,"{""1902002"":[1,9]}","{""1101201"":161000,""1101202"":161000,""1101203"":161000,""1102003"":84000,""1102001"":84000,""1102004"":84000}"
3010109,3010108,1,1,1,0,"{""1902003"":[1,9]}","{""1101201"":161000,""1101202"":161000,""1101203"":161000,""1102003"":84000,""1102001"":84000,""1102004"":84000}"
3010110,3010109,1,1,1,0,"{""1902001"":[1,9]}","{""1101201"":161000,""1101202"":161000,""1101203"":161000,""1102003"":84000,""1102001"":84000,""1102004"":84000}"
3010111,3010110,1,1,1,0,"{""1902004"":[1,9]}","{""1101201"":161000,""1101202"":161000,""1101203"":161000,""1102003"":84000,""1102001"":84000,""1102004"":84000}"
3010112,3010111,1,1,1,0,"{""1913001"":[1,9]}","{""1101201"":178000,""1101202"":178000,""1101203"":178000,""1102003"":93000,""1102001"":93000,""1102004"":93000}"
3010113,3010112,1,1,1,0,"{""1901001"":[1,10]}","{""1101201"":178000,""1101202"":178000,""1101203"":178000,""1102003"":93000,""1102001"":93000,""1102004"":93000}"
3010114,3010113,1,1,1,0,"{""1906001"":[1,10]}","{""1101201"":178000,""1101202"":178000,""1101203"":178000,""1102003"":93000,""1102001"":93000,""1102004"":93000}"
3010115,3010114,1,1,1,0,"{""1903001"":[1,10]}","{""1101201"":178000,""1101202"":178000,""1101203"":178000,""1102003"":93000,""1102001"":93000,""1102004"":93000}"
3010116,3010115,1,1,1,0,"{""1907001"":[1,10]}","{""1101201"":178000,""1101202"":178000,""1101203"":178000,""1102003"":93000,""1102001"":93000,""1102004"":93000}"
3010117,3010116,1,1,1,0,"{""1909001"":[1,10]}","{""1101201"":178000,""1101202"":178000,""1101203"":178000,""1102003"":93000,""1102001"":93000,""1102004"":93000}"
3010118,3010117,1,1,1,0,"{""1904001"":[1,10]}","{""1101201"":178000,""1101202"":178000,""1101203"":178000,""1102003"":93000,""1102001"":93000,""1102004"":93000}"
3010119,3010118,1,1,1,0,"{""1902002"":[1,10]}","{""1101201"":178000,""1101202"":178000,""1101203"":178000,""1102003"":93000,""1102001"":93000,""1102004"":93000}"
3010120,3010119,1,1,1,0,"{""1902003"":[1,10]}","{""1101201"":178000,""1101202"":178000,""1101203"":178000,""1102003"":93000,""1102001"":93000,""1102004"":93000}"
3010121,3010120,1,1,1,0,"{""1902001"":[1,10]}","{""1101201"":178000,""1101202"":178000,""1101203"":178000,""1102003"":93000,""1102001"":93000,""1102004"":93000}"
3010122,3010121,1,1,1,0,"{""1902004"":[1,10]}","{""1101201"":178000,""1101202"":178000,""1101203"":178000,""1102003"":93000,""1102001"":93000,""1102004"":93000}"
3010123,3010122,1,1,1,0,"{""1913001"":[1,10]}","{""1101201"":196000,""1101202"":196000,""1101203"":196000,""1102003"":103000,""1102001"":103000,""1102004"":103000}"
3010124,3010123,1,1,1,0,"{""1901001"":[1,11]}","{""1101201"":196000,""1101202"":196000,""1101203"":196000,""1102003"":103000,""1102001"":103000,""1102004"":103000}"
3010125,3010124,1,1,1,0,"{""1906001"":[1,11]}","{""1101201"":196000,""1101202"":196000,""1101203"":196000,""1102003"":103000,""1102001"":103000,""1102004"":103000}"
3010126,3010125,1,1,1,0,"{""1903001"":[1,11]}","{""1101201"":196000,""1101202"":196000,""1101203"":196000,""1102003"":103000,""1102001"":103000,""1102004"":103000}"
3010127,3010126,1,1,1,0,"{""1907001"":[1,11]}","{""1101201"":196000,""1101202"":196000,""1101203"":196000,""1102003"":103000,""1102001"":103000,""1102004"":103000}"
3010128,3010127,1,1,1,0,"{""1909001"":[1,11]}","{""1101201"":196000,""1101202"":196000,""1101203"":196000,""1102003"":103000,""1102001"":103000,""1102004"":103000}"
3010129,3010128,1,1,1,0,"{""1904001"":[1,11]}","{""1101201"":196000,""1101202"":196000,""1101203"":196000,""1102003"":103000,""1102001"":103000,""1102004"":103000}"
3010130,3010129,1,1,1,0,"{""1902002"":[1,11]}","{""1101201"":196000,""1101202"":196000,""1101203"":196000,""1102003"":103000,""1102001"":103000,""1102004"":103000}"
3010131,3010130,1,1,1,0,"{""1902003"":[1,11]}","{""1101201"":196000,""1101202"":196000,""1101203"":196000,""1102003"":103000,""1102001"":103000,""1102004"":103000}"
3010132,3010131,1,1,1,0,"{""1902001"":[1,11]}","{""1101201"":196000,""1101202"":196000,""1101203"":196000,""1102003"":103000,""1102001"":103000,""1102004"":103000}"
3010133,3010132,1,1,1,0,"{""1902004"":[1,11]}","{""1101201"":196000,""1101202"":196000,""1101203"":196000,""1102003"":103000,""1102001"":103000,""1102004"":103000}"
3010134,3010133,1,1,1,0,"{""1913001"":[1,11]}","{""1101201"":216000,""1101202"":216000,""1101203"":216000,""1102003"":114000,""1102001"":114000,""1102004"":114000}"
3010135,3010134,1,1,1,0,"{""1901001"":[1,12]}","{""1101201"":216000,""1101202"":216000,""1101203"":216000,""1102003"":114000,""1102001"":114000,""1102004"":114000}"
3010136,3010135,1,1,1,0,"{""1906001"":[1,12]}","{""1101201"":216000,""1101202"":216000,""1101203"":216000,""1102003"":114000,""1102001"":114000,""1102004"":114000}"
3010137,3010136,1,1,1,0,"{""1903001"":[1,12]}","{""1101201"":216000,""1101202"":216000,""1101203"":216000,""1102003"":114000,""1102001"":114000,""1102004"":114000}"
3010138,3010137,1,1,1,0,"{""1907001"":[1,12]}","{""1101201"":216000,""1101202"":216000,""1101203"":216000,""1102003"":114000,""1102001"":114000,""1102004"":114000}"
3010139,3010138,1,1,1,0,"{""1909001"":[1,12]}","{""1101201"":216000,""1101202"":216000,""1101203"":216000,""1102003"":114000,""1102001"":114000,""1102004"":114000}"
3010140,3010139,1,1,1,0,"{""1904001"":[1,12]}","{""1101201"":216000,""1101202"":216000,""1101203"":216000,""1102003"":114000,""1102001"":114000,""1102004"":114000}"
3010141,3010140,1,1,1,0,"{""1902002"":[1,12]}","{""1101201"":216000,""1101202"":216000,""1101203"":216000,""1102003"":114000,""1102001"":114000,""1102004"":114000}"
3010142,3010141,1,1,1,0,"{""1902003"":[1,12]}","{""1101201"":216000,""1101202"":216000,""1101203"":216000,""1102003"":114000,""1102001"":114000,""1102004"":114000}"
3010143,3010142,1,1,1,0,"{""1902001"":[1,12]}","{""1101201"":216000,""1101202"":216000,""1101203"":216000,""1102003"":114000,""1102001"":114000,""1102004"":114000}"
3010144,3010143,1,1,1,0,"{""1902004"":[1,12]}","{""1101201"":216000,""1101202"":216000,""1101203"":216000,""1102003"":114000,""1102001"":114000,""1102004"":114000}"
3010145,3010144,1,1,1,0,"{""1913001"":[1,12]}","{""1101201"":238000,""1101202"":238000,""1101203"":238000,""1102003"":126000,""1102001"":126000,""1102004"":126000}"
3010146,3010145,1,1,1,0,"{""1901001"":[1,13]}","{""1101201"":238000,""1101202"":238000,""1101203"":238000,""1102003"":126000,""1102001"":126000,""1102004"":126000}"
3010147,3010146,1,1,1,0,"{""1906001"":[1,13]}","{""1101201"":238000,""1101202"":238000,""1101203"":238000,""1102003"":126000,""1102001"":126000,""1102004"":126000}"
3010148,3010147,1,1,1,0,"{""1903001"":[1,13]}","{""1101201"":238000,""1101202"":238000,""1101203"":238000,""1102003"":126000,""1102001"":126000,""1102004"":126000}"
3010149,3010148,1,1,1,0,"{""1907001"":[1,13]}","{""1101201"":238000,""1101202"":238000,""1101203"":238000,""1102003"":126000,""1102001"":126000,""1102004"":126000}"
3010150,3010149,1,1,1,0,"{""1909001"":[1,13]}","{""1101201"":238000,""1101202"":238000,""1101203"":238000,""1102003"":126000,""1102001"":126000,""1102004"":126000}"
3010151,3010150,1,1,1,0,"{""1904001"":[1,13]}","{""1101201"":238000,""1101202"":238000,""1101203"":238000,""1102003"":126000,""1102001"":126000,""1102004"":126000}"
3010152,3010151,1,1,1,0,"{""1902002"":[1,13]}","{""1101201"":238000,""1101202"":238000,""1101203"":238000,""1102003"":126000,""1102001"":126000,""1102004"":126000}"
3010153,3010152,1,1,1,0,"{""1902003"":[1,13]}","{""1101201"":238000,""1101202"":238000,""1101203"":238000,""1102003"":126000,""1102001"":126000,""1102004"":126000}"
3010154,3010153,1,1,1,0,"{""1902001"":[1,13]}","{""1101201"":238000,""1101202"":238000,""1101203"":238000,""1102003"":126000,""1102001"":126000,""1102004"":126000}"
3010155,3010154,1,1,1,0,"{""1902004"":[1,13]}","{""1101201"":238000,""1101202"":238000,""1101203"":238000,""1102003"":126000,""1102001"":126000,""1102004"":126000}"
3010156,3010155,1,1,1,0,"{""1913001"":[1,13]}","{""1101201"":262000,""1101202"":262000,""1101203"":262000,""1102003"":139000,""1102001"":139000,""1102004"":139000}"
3010157,3010156,1,1,1,0,"{""1901001"":[1,14]}","{""1101201"":262000,""1101202"":262000,""1101203"":262000,""1102003"":139000,""1102001"":139000,""1102004"":139000}"
3010158,3010157,1,1,1,0,"{""1906001"":[1,14]}","{""1101201"":262000,""1101202"":262000,""1101203"":262000,""1102003"":139000,""1102001"":139000,""1102004"":139000}"
3010159,3010158,1,1,1,0,"{""1903001"":[1,14]}","{""1101201"":262000,""1101202"":262000,""1101203"":262000,""1102003"":139000,""1102001"":139000,""1102004"":139000}"
3010160,3010159,1,1,1,0,"{""1907001"":[1,14]}","{""1101201"":262000,""1101202"":262000,""1101203"":262000,""1102003"":139000,""1102001"":139000,""1102004"":139000}"
3010161,3010160,1,1,1,0,"{""1909001"":[1,14]}","{""1101201"":262000,""1101202"":262000,""1101203"":262000,""1102003"":139000,""1102001"":139000,""1102004"":139000}"
3010162,3010161,1,1,1,0,"{""1904001"":[1,14]}","{""1101201"":262000,""1101202"":262000,""1101203"":262000,""1102003"":139000,""1102001"":139000,""1102004"":139000}"
3010163,3010162,1,1,1,0,"{""1902002"":[1,14]}","{""1101201"":262000,""1101202"":262000,""1101203"":262000,""1102003"":139000,""1102001"":139000,""1102004"":139000}"
3010164,3010163,1,1,1,0,"{""1902003"":[1,14]}","{""1101201"":262000,""1101202"":262000,""1101203"":262000,""1102003"":139000,""1102001"":139000,""1102004"":139000}"
3010165,3010164,1,1,1,0,"{""1902001"":[1,14]}","{""1101201"":262000,""1101202"":262000,""1101203"":262000,""1102003"":139000,""1102001"":139000,""1102004"":139000}"
