arm_id,arm_tech,arm_type,arm_class,force_mnax,attack,defence,hp,speed,shoot_range,attack_speed,attack_plus,telent_id,telent_value,telent_range,levelup_resource,recruit_resource,maintenance_resource,collect_speed,arm_need,soldiers_need,levy_time,city_camp,city_camp_type,warfare,arm_load,first_attack,arm_image,arm_dodge,arm_crit,arm_crit_damege,arm_recover_need,arm_recoer_time,arm_attack_type,arm_def_type,ai_id,arm_attack_image,view,Formation_id,time_hit,movesound
1201210,1220004,1201002,1201000,200,20,22,83,0.7,1,1,1,0,0,{},"{""1101001"":6583500,""1101002"":13167000,""1101003"":13167000,""1102001"":16450200,""1102004"":16450200}","{""1101001"":385,""1101002"":770,""1101003"":770,""1102001"":962,""1102004"":962,""1101004"":1}","{""1101001"":0.115}",1.2,"{""1902002"":30}",1201209,3.2,1902002,2,143,1382,1,12010021,0,0,1,"{""1101001"":308,""1101002"":616,""1101003"":616,""1102001"":770,""1102004"":770}",2.56,1,2,5000101,1,5,10,200,yidong_bubing
1202101,1230001,1202001,1202000,200,6,4,28,1.2,1,1,1,0,0,{},{},"{""1101001"":16,""1101002"":32,""1101003"":32,""1102002"":1,""1101004"":1}","{""1101001"":0.006}",0.16,"{""1902001"":1}",0,0.033,1902001,1,6,288,1.2,12020011,0,0,1,"{""1101001"":13,""1101002"":26,""1101003"":26}",0.027,1,1,5000101,1,5,21,250,yidong_qibing
1202102,1230001,1202001,1202000,200,8,5,32,1.2,1,1,1,0,0,{},"{""1101001"":4560,""1101002"":9120,""1101003"":9120,""1102003"":11400,""1102004"":11400,""1102002"":380}","{""1101001"":12,""1101002"":24,""1101003"":24,""1102003"":30,""1102004"":30,""1102002"":1,""1101004"":1}","{""1101001"":0.008}",0.24,"{""1902001"":4}",1202101,0.067,1902001,1,8,432,1.2,12020011,0,0,1,"{""1101001"":10,""1101002"":19,""1101003"":19,""1102003"":24,""1102004"":24}",0.053,1,1,5000101,1,5,22,250,yidong_qibing
1202103,1230001,1202001,1202000,200,8,5,34,1.2,1,1,1,0,0,{},"{""1101001"":20520,""1101002"":41040,""1101003"":41040,""1102003"":51300,""1102004"":51300,""1102002"":1140}","{""1101001"":18,""1101002"":36,""1101003"":36,""1102003"":45,""1102004"":45,""1102002"":1,""1101004"":1}","{""1101001"":0.01}",0.32,"{""1902001"":7}",1202102,0.1,1902001,1,11,576,1.2,12020011,0,0,1,"{""1101001"":14,""1101002"":29,""1101003"":29,""1102003"":36,""1102004"":36}",0.08,1,1,5000101,1,5,23,250,yidong_qibing
1202104,1230002,1202001,1202000,200,9,5,34,1.2,1,1,1,0,0,{},"{""1101001"":61560,""1101002"":123120,""1101003"":123120,""1102003"":152760,""1102004"":152760,""1102002"":2280}","{""1101001"":27,""1101002"":54,""1101003"":54,""1102003"":67,""1102004"":67,""1102002"":1,""1101004"":1}","{""1101001"":0.014}",0.4,"{""1902001"":10}",1202103,0.183,1902001,1,16,720,1.2,12020011,0,0,1,"{""1101001"":22,""1101002"":43,""1101003"":43,""1102003"":54,""1102004"":54}",0.147,1,1,5000101,1,5,24,250,yidong_qibing
1202105,1230002,1202001,1202000,200,11,6,39,1.2,1,1,1,0,0,{},"{""1101001"":155800,""1101002"":307800,""1101003"":307800,""1102003"":387600,""1102004"":387600,""1102002"":3800}","{""1101001"":41,""1101002"":81,""1101003"":81,""1102003"":102,""1102004"":102,""1102002"":1,""1101004"":1}","{""1101001"":0.019}",0.48,"{""1902001"":13}",1202104,0.3,1902001,1,23,864,1.2,12020011,0,0,1,"{""1101001"":33,""1101002"":65,""1101003"":65,""1102003"":82,""1102004"":82}",0.24,1,1,5000101,1,5,25,250,yidong_qibing
1202106,1230002,1202001,1202000,200,14,8,46,1.2,1,1,1,0,0,{},"{""1101001"":347700,""1101002"":695400,""1101003"":695400,""1102003"":866400,""1102004"":866400,""1102002"":5700}","{""1101001"":61,""1101002"":122,""1101003"":122,""1102003"":152,""1102004"":152,""1102002"":1,""1101004"":1}","{""1101001"":0.025}",0.56,"{""1902001"":16}",1202105,0.5,1902001,1,32,1008,1.2,12020011,0,0,1,"{""1101001"":49,""1101002"":98,""1101003"":98,""1102003"":122,""1102004"":122}",0.4,1,1,5000101,1,5,26,250,yidong_qibing
1202107,1230003,1202001,1202000,200,14,8,45,1.2,1,1,1,0,0,{},"{""1101001"":726180,""1101002"":1452360,""1101003"":1452360,""1102003"":1819440,""1102004"":1819440,""1102002"":7980}","{""1101001"":91,""1101002"":182,""1101003"":182,""1102003"":228,""1102004"":228,""1102002"":1,""1101004"":1}","{""1101001"":0.035}",0.64,"{""1902001"":19}",1202106,0.75,1902001,1,45,1152,1.2,12020011,0,0,1,"{""1101001"":73,""1101002"":146,""1101003"":146,""1102003"":182,""1102004"":182}",0.6,1,1,5000101,1,5,27,250,yidong_qibing
1202108,1230003,1202001,1202000,200,18,10,50,1.2,1,1,1,0,0,{},"{""1101001"":1447040,""1101002"":2904720,""1101003"":2904720,""1102003"":3628240,""1102004"":3628240,""1102002"":10640}","{""1101001"":136,""1101002"":273,""1101003"":273,""1102003"":341,""1102004"":341,""1102002"":1,""1101004"":1}","{""1101001"":0.046}",0.72,"{""1902001"":22}",1202107,1.133,1902001,1,64,1296,1.2,12020011,0,0,1,"{""1101001"":109,""1101002"":218,""1101003"":218,""1102003"":273,""1102004"":273}",0.907,1,1,5000101,1,5,28,250,yidong_qibing
1202109,1230003,1202001,1202000,200,22,12,56,1.2,1,1,1,0,0,{},"{""1101001"":2804400,""1101002"":5595120,""1101003"":5595120,""1102003"":7004160,""1102004"":7004160,""1102002"":13680}","{""1101001"":205,""1101002"":409,""1101003"":409,""1102003"":512,""1102004"":512,""1102002"":1,""1101004"":1}","{""1101001"":0.063}",0.8,"{""1902001"":25}",1202108,1.7,1902001,1,91,1440,1.2,12020011,0,0,1,"{""1101001"":164,""1101002"":327,""1101003"":327,""1102003"":410,""1102004"":410}",1.36,1,1,5000101,1,5,29,250,yidong_qibing
1202110,1230004,1202001,1202000,200,27,15,62,1.2,1,1,1,0,0,{},"{""1101001"":5266800,""1101002"":10533600,""1101003"":10533600,""1102003"":13167000,""1102004"":13167000,""1102002"":17100}","{""1101001"":308,""1101002"":616,""1101003"":616,""1102003"":770,""1102004"":770,""1102002"":1,""1101004"":1}","{""1101001"":0.086}",0.96,"{""1902001"":30}",1202109,2.567,1902001,1,128,1728,1.2,12020011,0,0,1,"{""1101001"":246,""1101002"":493,""1101003"":493,""1102003"":616,""1102004"":616}",2.053,1,1,5000101,1,5,30,250,yidong_qibing
1202201,1240001,1202002,1202000,200,5,6,33,1.1,1,1,1,0,0,{},{},"{""1101001"":18,""1101002"":36,""1101003"":36,""1102002"":1,""1101004"":1}","{""1101001"":0.008}",0.16,"{""1902001"":1}",0,0.033,1902001,2,6,288,1.8,12020021,0,0,1,"{""1101001"":14,""1101002"":29,""1101003"":29}",0.027,1,2,5000101,1,5,31,250,yidong_qibing
1202202,1240001,1202002,1202000,200,7,8,36,1.1,1,1,1,0,0,{},"{""1101001"":5320,""1101002"":10260,""1101003"":10260,""1102003"":7600,""1102001"":10260,""1102004"":7600,""1102002"":380}","{""1101001"":14,""1101002"":27,""1101003"":27,""1102003"":20,""1102001"":27,""1102004"":20,""1102002"":1,""1101004"":1}","{""1101001"":0.01}",0.24,"{""1902001"":4}",1202201,0.067,1902001,2,9,432,1.8,12020021,0,0,1,"{""1101001"":11,""1101002"":22,""1101003"":22,""1102003"":16,""1102001"":22,""1102004"":16}",0.053,1,2,5000101,1,5,32,250,yidong_qibing
1202203,1240001,1202002,1202000,200,7,8,37,1.1,1,1,1,0,0,{},"{""1101001"":22800,""1101002"":45600,""1101003"":45600,""1102003"":34200,""1102001"":45600,""1102004"":34200,""1102002"":1140}","{""1101001"":20,""1101002"":40,""1101003"":40,""1102003"":30,""1102001"":40,""1102004"":30,""1102002"":1,""1101004"":1}","{""1101001"":0.014}",0.32,"{""1902001"":7}",1202202,0.117,1902001,2,12,576,1.8,12020021,0,0,1,"{""1101001"":16,""1101002"":32,""1101003"":32,""1102003"":24,""1102001"":32,""1102004"":24}",0.093,1,2,5000101,1,5,33,250,yidong_qibing
1202204,1240002,1202002,1202000,200,8,9,38,1.1,1,1,1,0,0,{},"{""1101001"":68400,""1101002"":136800,""1101003"":136800,""1102003"":102600,""1102001"":136800,""1102004"":102600,""1102002"":2280}","{""1101001"":30,""1101002"":60,""1101003"":60,""1102003"":45,""1102001"":60,""1102004"":45,""1102002"":1,""1101004"":1}","{""1101001"":0.018}",0.4,"{""1902001"":10}",1202203,0.2,1902001,2,17,720,1.8,12020021,0,0,1,"{""1101001"":24,""1101002"":48,""1101003"":48,""1102003"":36,""1102001"":48,""1102004"":36}",0.16,1,2,5000101,1,5,34,250,yidong_qibing
1202205,1240002,1202002,1202000,200,9,11,44,1.1,1,1,1,0,0,{},"{""1101001"":171000,""1101002"":345800,""1101003"":345800,""1102003"":258400,""1102001"":345800,""1102004"":258400,""1102002"":3800}","{""1101001"":45,""1101002"":91,""1101003"":91,""1102003"":68,""1102001"":91,""1102004"":68,""1102002"":1,""1101004"":1}","{""1101001"":0.025}",0.48,"{""1902001"":13}",1202204,0.333,1902001,2,24,864,1.8,12020021,0,0,1,"{""1101001"":36,""1101002"":73,""1101003"":73,""1102003"":54,""1102001"":73,""1102004"":54}",0.267,1,2,5000101,1,5,35,250,yidong_qibing
1202206,1240002,1202002,1202000,200,12,13,47,1.1,1,1,1,0,0,{},"{""1101001"":387600,""1101002"":775200,""1101003"":775200,""1102003"":581400,""1102001"":775200,""1102004"":581400,""1102002"":5700}","{""1101001"":68,""1101002"":136,""1101003"":136,""1102003"":102,""1102001"":136,""1102004"":102,""1102002"":1,""1101004"":1}","{""1101001"":0.032}",0.56,"{""1902001"":16}",1202205,0.567,1902001,2,34,1008,1.8,12020021,0,0,1,"{""1101001"":54,""1101002"":109,""1101003"":109,""1102003"":82,""1102001"":109,""1102004"":82}",0.453,1,2,5000101,1,5,36,250,yidong_qibing
1202207,1240003,1202002,1202000,200,12,14,46,1.1,1,1,1,0,0,{},"{""1101001"":813960,""1101002"":1627920,""1101003"":1627920,""1102003"":1220940,""1102001"":1627920,""1102004"":1220940,""1102002"":7980}","{""1101001"":102,""1101002"":204,""1101003"":204,""1102003"":153,""1102001"":204,""1102004"":153,""1102002"":1,""1101004"":1}","{""1101001"":0.043}",0.64,"{""1902001"":19}",1202206,0.85,1902001,2,48,1152,1.8,12020021,0,0,1,"{""1101001"":82,""1101002"":163,""1101003"":163,""1102003"":122,""1102001"":163,""1102004"":122}",0.68,1,2,5000101,1,5,37,250,yidong_qibing
1202208,1240003,1202002,1202000,200,15,18,50,1.1,1,1,1,0,0,{},"{""1101001"":1638560,""1101002"":3277120,""1101003"":3277120,""1102003"":2457840,""1102001"":3277120,""1102004"":2457840,""1102002"":10640}","{""1101001"":154,""1101002"":308,""1101003"":308,""1102003"":231,""1102001"":308,""1102004"":231,""1102002"":1,""1101004"":1}","{""1101001"":0.058}",0.72,"{""1902001"":22}",1202207,1.283,1902001,2,68,1296,1.8,12020021,0,0,1,"{""1101001"":123,""1101002"":246,""1101003"":246,""1102003"":185,""1102001"":246,""1102004"":185}",1.027,1,2,5000101,1,5,38,250,yidong_qibing
1202209,1240003,1202002,1202000,200,19,21,54,1.1,1,1,1,0,0,{},"{""1101001"":3160080,""1101002"":6320160,""1101003"":6320160,""1102003"":4746960,""1102001"":6320160,""1102004"":4746960,""1102002"":13680}","{""1101001"":231,""1101002"":462,""1101003"":462,""1102003"":347,""1102001"":462,""1102004"":347,""1102002"":1,""1101004"":1}","{""1101001"":0.08}",0.8,"{""1902001"":25}",1202208,1.917,1902001,2,96,1440,1.8,12020021,0,0,1,"{""1101001"":185,""1101002"":370,""1101003"":370,""1102003"":278,""1102001"":370,""1102004"":278}",1.533,1,2,5000101,1,5,39,250,yidong_qibing
1202210,1240004,1202002,1202000,200,22,26,59,1.1,1,1,1,0,0,{},"{""1101001"":5916600,""1101002"":11833200,""1101003"":11833200,""1102003"":8874900,""1102001"":11833200,""1102004"":8874900,""1102002"":17100}","{""1101001"":346,""1101002"":692,""1101003"":692,""1102003"":519,""1102001"":692,""1102004"":519,""1102002"":1,""1101004"":1}","{""1101001"":0.11}",0.96,"{""1902001"":30}",1202209,2.883,1902001,2,136,1728,1.8,12020021,0,0,1,"{""1101001"":277,""1101002"":554,""1101003"":554,""1102003"":415,""1102001"":554,""1102004"":415}",2.307,1,2,5000101,1,5,40,250,yidong_qibing
1203101,1250001,1203001,1203000,200,8,3,22,0.7,3,1,1,0,0,{},{},"{""1101001"":16,""1101002"":32,""1101003"":32,""1102002"":1,""1101004"":1}","{""1101001"":0.005}",0.12,"{""1902003"":1}",0,0.033,1902003,1,6,173,2,12030011,0,0,1,"{""1101001"":13,""1101002"":26,""1101003"":26}",0.027,2,1,5000101,2,5,51,500,yidong_bubing
1203102,1250001,1203001,1203000,200,10,3,26,0.7,3,1,1,0,0,{},"{""1101001"":4560,""1101002"":9120,""1101003"":9120,""1102003"":4560,""1102001"":9120,""1102004"":9120}","{""1101001"":12,""1101002"":24,""1101003"":24,""1102003"":12,""1102001"":24,""1102004"":24,""1102002"":1,""1101004"":1}","{""1101001"":0.005}",0.18,"{""1902003"":4}",1203101,0.067,1902003,1,8,259,2,12030011,0,0,1,"{""1101001"":10,""1101002"":19,""1101003"":19,""1102003"":10,""1102001"":19,""1102004"":19}",0.053,2,1,5000101,2,5,52,500,yidong_bubing
1203103,1250001,1203001,1203000,200,11,4,27,0.7,3,1,1,0,0,{},"{""1101001"":20520,""1101002"":41040,""1101003"":41040,""1102003"":20520,""1102001"":41040,""1102004"":41040}","{""1101001"":18,""1101002"":36,""1101003"":36,""1102003"":18,""1102001"":36,""1102004"":36,""1102002"":1,""1101004"":1}","{""1101001"":0.008}",0.24,"{""1902003"":7}",1203102,0.1,1902003,1,11,346,2,12030011,0,0,1,"{""1101001"":14,""1101002"":29,""1101003"":29,""1102003"":14,""1102001"":29,""1102004"":29}",0.08,2,1,5000101,2,5,53,500,yidong_bubing
1203104,1250002,1203001,1203000,200,12,4,28,0.7,3,1,1,0,0,{},"{""1101001"":61560,""1101002"":123120,""1101003"":123120,""1102003"":61560,""1102001"":123120,""1102004"":123120}","{""1101001"":27,""1101002"":54,""1101003"":54,""1102003"":27,""1102001"":54,""1102004"":54,""1102002"":1,""1101004"":1}","{""1101001"":0.01}",0.3,"{""1902003"":10}",1203103,0.183,1902003,1,16,432,2,12030011,0,0,1,"{""1101001"":22,""1101002"":43,""1101003"":43,""1102003"":22,""1102001"":43,""1102004"":43}",0.147,2,1,5000101,2,5,54,500,yidong_bubing
1203105,1250002,1203001,1203000,200,15,4,33,0.7,3,1,1,0,0,{},"{""1101001"":152000,""1101002"":307800,""1101003"":307800,""1102003"":152000,""1102001"":307800,""1102004"":307800}","{""1101001"":40,""1101002"":81,""1101003"":81,""1102003"":40,""1102001"":81,""1102004"":81,""1102002"":1,""1101004"":1}","{""1101001"":0.013}",0.36,"{""1902003"":13}",1203104,0.3,1902003,1,23,518,2,12030011,0,0,1,"{""1101001"":32,""1101002"":65,""1101003"":65,""1102003"":32,""1102001"":65,""1102004"":65}",0.24,2,1,5000101,2,5,55,500,yidong_bubing
1203106,1250002,1203001,1203000,200,18,6,38,0.7,3,1,1,0,0,{},"{""1101001"":347700,""1101002"":695400,""1101003"":695400,""1102003"":347700,""1102001"":695400,""1102004"":695400}","{""1101001"":61,""1101002"":122,""1101003"":122,""1102003"":61,""1102001"":122,""1102004"":122,""1102002"":1,""1101004"":1}","{""1101001"":0.018}",0.42,"{""1902003"":16}",1203105,0.5,1902003,1,32,605,2,12030011,0,0,1,"{""1101001"":49,""1101002"":98,""1101003"":98,""1102003"":49,""1102001"":98,""1102004"":98}",0.4,2,1,5000101,2,5,56,500,yidong_bubing
1203107,1250003,1203001,1203000,200,19,6,39,0.7,3,1,1,0,0,{},"{""1101001"":726180,""1101002"":1460340,""1101003"":1460340,""1102003"":726180,""1102001"":1460340,""1102004"":1460340}","{""1101001"":91,""1101002"":183,""1101003"":183,""1102003"":91,""1102001"":183,""1102004"":183,""1102002"":1,""1101004"":1}","{""1101001"":0.024}",0.48,"{""1902003"":19}",1203106,0.767,1902003,1,45,691,2,12030011,0,0,1,"{""1101001"":73,""1101002"":146,""1101003"":146,""1102003"":73,""1102001"":146,""1102004"":146}",0.613,2,1,5000101,2,5,57,500,yidong_bubing
1203108,1250003,1203001,1203000,200,24,7,43,0.7,3,1,1,0,0,{},"{""1101001"":1447040,""1101002"":2904720,""1101003"":2904720,""1102003"":1447040,""1102001"":2904720,""1102004"":2904720}","{""1101001"":136,""1101002"":273,""1101003"":273,""1102003"":136,""1102001"":273,""1102004"":273,""1102002"":1,""1101004"":1}","{""1101001"":0.032}",0.54,"{""1902003"":22}",1203107,1.133,1902003,1,64,778,2,12030011,0,0,1,"{""1101001"":109,""1101002"":218,""1101003"":218,""1102003"":109,""1102001"":218,""1102004"":218}",0.907,2,1,5000101,2,5,58,500,yidong_bubing
