task_id,task_class,task_city,task_class_1,task_type,task_group,task_level,accumulation,task_need,task_reward,task_reward_resource
5700030,"[8,8]",2,4,8,0,1,1,"{""5710002"":[1700]}",{},{}
5700031,"[9,9]",2,4,8,0,1,1,"{""5710002"":[1800]}",{},{}
5700032,"[10,10]",2,4,8,0,1,1,"{""5710002"":[1900]}",{},{}
5700033,"[11,11]",2,4,8,0,1,1,"{""5710002"":[2000]}",{},{}
5700034,"[12,12]",2,4,8,0,1,1,"{""5710002"":[2100]}",{},{}
5700035,"[13,13]",2,4,8,0,1,1,"{""5710002"":[2200]}",{},{}
5700036,"[14,14]",2,4,8,0,1,1,"{""5710002"":[2300]}",{},{}
5700037,"[15,15]",2,4,8,0,1,1,"{""5710002"":[2400]}",{},{}
5700038,"[16,16]",2,4,8,0,1,1,"{""5710002"":[2500]}",{},{}
5700039,"[17,17]",2,4,8,0,1,1,"{""5710002"":[2600]}",{},{}
5700040,"[18,18]",2,4,8,0,1,1,"{""5710002"":[2700]}",{},{}
5700041,"[19,19]",2,4,8,0,1,1,"{""5710002"":[2800]}",{},{}
5700042,"[20,20]",2,4,8,0,1,1,"{""5710002"":[2900]}",{},{}
5700043,"[21,21]",2,4,8,0,1,1,"{""5710002"":[3000]}",{},{}
5700044,"[22,22]",2,4,8,0,1,1,"{""5710002"":[3100]}",{},{}
5700045,"[23,23]",2,4,8,0,1,1,"{""5710002"":[3200]}",{},{}
5700046,"[24,24]",2,4,8,0,1,1,"{""5710002"":[3300]}",{},{}
5700047,"[25,25]",2,4,8,0,1,1,"{""5710002"":[3400]}",{},{}
5700048,"[26,26]",2,4,8,0,1,1,"{""5710002"":[3500]}",{},{}
5700049,"[27,27]",2,4,8,0,1,1,"{""5710002"":[3600]}",{},{}
5700050,"[28,28]",2,4,8,0,1,1,"{""5710002"":[3700]}",{},{}
5700051,"[29,29]",2,4,8,0,1,1,"{""5710002"":[3800]}",{},{}
5700052,"[30,30]",2,4,8,0,1,1,"{""5710002"":[3900]}",{},{}
5700053,"[5,5]",2,4,9,0,1,1,"{""5710003"":[10]}",{},{}
5700054,"[6,6]",2,4,9,0,1,1,"{""5710003"":[10]}",{},{}
5700055,"[7,7]",2,4,9,0,1,1,"{""5710003"":[10]}",{},{}
5700056,"[8,8]",2,4,9,0,1,1,"{""5710003"":[10]}",{},{}
5700057,"[9,9]",2,4,9,0,1,1,"{""5710003"":[10]}",{},{}
5700058,"[10,10]",2,4,9,0,1,1,"{""5710003"":[10]}",{},{}
5700059,"[11,11]",2,4,9,0,1,1,"{""5710003"":[10]}",{},{}
5700060,"[12,12]",2,4,9,0,1,1,"{""5710003"":[10]}",{},{}
5700061,"[13,13]",2,4,9,0,1,1,"{""5710003"":[10]}",{},{}
5700062,"[14,14]",2,4,9,0,1,1,"{""5710003"":[10]}",{},{}
5700063,"[15,15]",2,4,9,0,1,1,"{""5710003"":[10]}",{},{}
5700064,"[16,16]",2,4,9,0,1,1,"{""5710003"":[10]}",{},{}
5700065,"[17,17]",2,4,9,0,1,1,"{""5710003"":[10]}",{},{}
5700066,"[18,18]",2,4,9,0,1,1,"{""5710003"":[10]}",{},{}
5700067,"[19,19]",2,4,9,0,1,1,"{""5710003"":[10]}",{},{}
5700068,"[20,20]",2,4,9,0,1,1,"{""5710003"":[10]}",{},{}
5700069,"[21,21]",2,4,9,0,1,1,"{""5710003"":[10]}",{},{}
5700070,"[22,22]",2,4,9,0,1,1,"{""5710003"":[10]}",{},{}
5700071,"[23,23]",2,4,9,0,1,1,"{""5710003"":[10]}",{},{}
5700072,"[24,24]",2,4,9,0,1,1,"{""5710003"":[10]}",{},{}
5700073,"[25,25]",2,4,9,0,1,1,"{""5710003"":[10]}",{},{}
5700074,"[26,26]",2,4,9,0,1,1,"{""5710003"":[10]}",{},{}
5700075,"[27,27]",2,4,9,0,1,1,"{""5710003"":[10]}",{},{}
5700076,"[28,28]",2,4,9,0,1,1,"{""5710003"":[10]}",{},{}
5700077,"[29,29]",2,4,9,0,1,1,"{""5710003"":[10]}",{},{}
5700078,"[30,30]",2,4,9,0,1,1,"{""5710003"":[10]}",{},{}
5700079,"[5,5]",2,4,10,0,1,1,"{""5710004"":[100]}",{},{}
5700080,"[6,6]",2,4,10,0,1,1,"{""5710004"":[100]}",{},{}
5700081,"[7,7]",2,4,10,0,1,1,"{""5710004"":[100]}",{},{}
5700082,"[8,8]",2,4,10,0,1,1,"{""5710004"":[100]}",{},{}
5700083,"[9,9]",2,4,10,0,1,1,"{""5710004"":[100]}",{},{}
5700084,"[10,10]",2,4,10,0,1,1,"{""5710004"":[100]}",{},{}
5700085,"[11,11]",2,4,10,0,1,1,"{""5710004"":[100]}",{},{}
5700086,"[12,12]",2,4,10,0,1,1,"{""5710004"":[100]}",{},{}
5700087,"[13,13]",2,4,10,0,1,1,"{""5710004"":[100]}",{},{}
5700088,"[14,14]",2,4,10,0,1,1,"{""5710004"":[100]}",{},{}
5700089,"[15,15]",2,4,10,0,1,1,"{""5710004"":[100]}",{},{}
5700090,"[16,16]",2,4,10,0,1,1,"{""5710004"":[100]}",{},{}
5700091,"[17,17]",2,4,10,0,1,1,"{""5710004"":[100]}",{},{}
5700092,"[18,18]",2,4,10,0,1,1,"{""5710004"":[100]}",{},{}
5700093,"[19,19]",2,4,10,0,1,1,"{""5710004"":[100]}",{},{}
5700094,"[20,20]",2,4,10,0,1,1,"{""5710004"":[100]}",{},{}
5700095,"[21,21]",2,4,10,0,1,1,"{""5710004"":[100]}",{},{}
5700096,"[22,22]",2,4,10,0,1,1,"{""5710004"":[100]}",{},{}
5700097,"[23,23]",2,4,10,0,1,1,"{""5710004"":[100]}",{},{}
5700098,"[24,24]",2,4,10,0,1,1,"{""5710004"":[100]}",{},{}
5700099,"[25,25]",2,4,10,0,1,1,"{""5710004"":[100]}",{},{}
5700100,"[26,26]",2,4,10,0,1,1,"{""5710004"":[100]}",{},{}
5700101,"[27,27]",2,4,10,0,1,1,"{""5710004"":[100]}",{},{}
5700102,"[28,28]",2,4,10,0,1,1,"{""5710004"":[100]}",{},{}
5700103,"[29,29]",2,4,10,0,1,1,"{""5710004"":[100]}",{},{}
5700104,"[30,30]",2,4,10,0,1,1,"{""5710004"":[100]}",{},{}
